Region,City,Place Type,Place Category,Place Name,Rating,Review Text,Reviewer Language,Cleaned Review,neg,neu,pos,compound,Sentiment Label,Topic
North,Hail,hotel,lodging,فندق العييري,3.0,"Location was good. Room are clean but there was no iron , electric heater, washing machine and other crockery. Rate was high. Water was not good also. There are all things Available in Rose hotel buryda in same rates. Refrigerator microwave etc.every thing available in Rose hotel .",en,"location was good. room are clean but there was no iron , electric heater, washing machine and other crockery. rate was high. water was not good also. there are all things available in rose hotel buryda in same rates. refrigerator microwave etc.every thing available in rose hotel .",0.0,0.746,0.254,0.8176,positive,1
North,Hail,hotel,lodging,فندق العييري,3.0,"The service was good and room is clean. The ambience is good also friendly stuff and the location easy to locate the room rate also affordable..

I recommend to stay here and coming back.",en,"the service was good and room is clean. the ambience is good also friendly stuff and the location easy to locate the room rate also affordable..

i recommend to stay here and coming back.",0.0,0.45,0.55,0.9442,positive,2
North,Hail,hotel,lodging,فندق العييري,3.0,Very bad service and WiFi connected without internet.  Even they don't provide bath towel.,en,very bad service and wifi connected without internet.  even they don't provide bath towel.,0.259,0.741,0.0,-0.5423,negative,4
North,Hail,hotel,lodging,فندق العييري,3.0,Very bad behavior.staff unfriendly service too bad,en,very bad behavior.staff unfriendly service too bad,0.826,0.174,0.0,-0.8591,negative,3
North,Hail,hotel,lodging,فندق العييري,3.0,"Very Economical restaurants located in Al Aziziyah district
Single and Family 👪 or Double rooms available with kitchen and restrooms
Lifts are functional
Parking available",en,"very economical restaurants located in al aziziyah district
single and family 👪 or double rooms available with kitchen and restrooms
lifts are functional
parking available",0.0,1.0,0.0,0.0,neutral,3
North,Hail,hotel,lodging,المها ان للشقق الفندقية,3.4,"Very nice hotel , with fantastic location and brilliant service",en,"very nice hotel , with fantastic location and brilliant service",0.0,0.227,0.773,0.8807,positive,1
North,Hail,hotel,lodging,المها ان للشقق الفندقية,3.4,"Low season price rate is acceptable, clean place and polite staff.
Location is good but no enough car park.
Furniture looks good but kitchen storages need maintenance.
What I don’t like most is the Air condition in the room , very old and loud
The property in general is good .",en,"low season price rate is acceptable, clean place and polite staff.
location is good but no enough car park.
furniture looks good but kitchen storages need maintenance.
what i don’t like most is the air condition in the room , very old and loud
the property in general is good .",0.051,0.557,0.392,0.9201,positive,1
North,Hail,hotel,lodging,المها ان للشقق الفندقية,3.4,"Worst hotel and management, they don't care customers needs. I paid 339 sr for room and they told me no breakfast plus Windows ac not working washroom very small and used sleepers they kept in the washroom, old furniture, you can't sleep because of Ac voice. Horrible experience with this hotel better to choose others hotel with 180 sr.",en,"worst hotel and management, they don't care customers needs. i paid 339 sr for room and they told me no breakfast plus windows ac not working washroom very small and used sleepers they kept in the washroom, old furniture, you can't sleep because of ac voice. horrible experience with this hotel better to choose others hotel with 180 sr.",0.227,0.709,0.064,-0.8089,negative,0
North,Hail,hotel,lodging,المها ان للشقق الفندقية,3.4,"Trash Hotel, window AC, pathetic toilets with a used slippers inside it, door never opens by card - daily need to go down n recharge it, old furniture etc etc

Look out for some other hotel
Poor staff in reception and bell boys.

Room service staff was good n average breakfast quality..",en,"trash hotel, window ac, pathetic toilets with a used slippers inside it, door never opens by card - daily need to go down n recharge it, old furniture etc etc

look out for some other hotel
poor staff in reception and bell boys.

room service staff was good n average breakfast quality..",0.163,0.767,0.07,-0.5994,negative,0
North,Hail,hotel,lodging,المها ان للشقق الفندقية,3.4,"The place is neat, and for a night it's good value for money.
Don't compare this outlet to boudl chain hotels in other major cities of Saudi Arabia, you might be a bit disappointed.",en,"the place is neat, and for a night it's good value for money.
don't compare this outlet to boudl chain hotels in other major cities of saudi arabia, you might be a bit disappointed.",0.117,0.568,0.314,0.6369,positive,1
North,Hail,hotel,lodging,Resalin hotel,3.3,"The staff is very ill mannered.....i drove from riyadh and took a room here ...was very tired and wanted some sleep but they started drilling holes in their walls at 1:30 AM in the morning....even on complaining and requesting them to stop and continue their work in morning when everyone is awake, they did not listen and completely ignored me.......very bad service and ill mannered staff.....dont recommend to anyone",en,"the staff is very ill mannered.....i drove from riyadh and took a room here ...was very tired and wanted some sleep but they started drilling holes in their walls at 1:30 am in the morning....even on complaining and requesting them to stop and continue their work in morning when everyone is awake, they did not listen and completely ignored me.......very bad service and ill mannered staff.....dont recommend to anyone",0.398,0.549,0.053,-0.9366,negative,3
North,Hail,hotel,lodging,Resalin hotel,3.3,Good hotel. Nearby many fast food and restaurant. Ample parking space. They are large rooms neat and clean. Quick room service. They also serve free qahwa. You call reception tbey deliver the food from restaurant for 2 riyals,en,good hotel. nearby many fast food and restaurant. ample parking space. they are large rooms neat and clean. quick room service. they also serve free qahwa. you call reception tbey deliver the food from restaurant for 2 riyals,0.0,0.669,0.331,0.8979,positive,1
North,Hail,hotel,lodging,Resalin hotel,3.3,The rooms are clean but no services at all not even soap it doesn’t worth the money i came only to spend the night while traveling across country. But i would never recommend or stay here again,en,the rooms are clean but no services at all not even soap it doesn’t worth the money i came only to spend the night while traveling across country. but i would never recommend or stay here again,0.102,0.676,0.222,0.3591,positive,1
North,Hail,hotel,lodging,Resalin hotel,3.3,"We enjoyed the stay at this hotel, rooms & washrooms were neat and clean, reception staff good and bell boy helped us in the odd hours. There is cafeteria, shoe cleaning machine, special parking for physically challenged, interior is cozy good for honeymoon couples. The beds are spacious (In two rooms there is one Master Bed and two Queen size beds as advertised) Free parking in front of the hotel, Free internet, elevator service available.

There is big mosque opposite side of this hotel, you can do your five times prayers.

My only concern is it's away from the city center, they can improve the house keeping.

Overall our stay at this hotel was joyful. I can highly recommend to new visitors.",en,"we enjoyed the stay at this hotel, rooms & washrooms were neat and clean, reception staff good and bell boy helped us in the odd hours. there is cafeteria, shoe cleaning machine, special parking for physically challenged, interior is cozy good for honeymoon couples. the beds are spacious (in two rooms there is one master bed and two queen size beds as advertised) free parking in front of the hotel, free internet, elevator service available.

there is big mosque opposite side of this hotel, you can do your five times prayers.

my only concern is it's away from the city center, they can improve the house keeping.

overall our stay at this hotel was joyful. i can highly recommend to new visitors.",0.038,0.616,0.346,0.9834,positive,1
North,Hail,hotel,lodging,Resalin hotel,3.3,"It is an ok hotel. I stayed  in d 2 bedroom apartment,  I must say the toilet  is so small, but generally cleanliness is fair,...also no cooking  utensils  available...not happy  about this",en,"it is an ok hotel. i stayed  in d 2 bedroom apartment,  i must say the toilet  is so small, but generally cleanliness is fair,...also no cooking  utensils  available...not happy  about this",0.0,0.704,0.296,0.7096,positive,4
North,Hail,hotel,lodging,Al Jabalain Hotel,3.3,"The Indian receptionist was very accommodating. He allowed me to sit inside and wait for my uber to arrive. It means a lot to me, because it's too cold outside, and I forgot to bring my jacket cause I am in hurry for my 12noon appointment. I must say that the old guy is for keep!

As for the interior of the hotel, it is arabian inspired (of course! 😍) and the staff able to managed and keep it clean and well maintained.",en,"the indian receptionist was very accommodating. he allowed me to sit inside and wait for my uber to arrive. it means a lot to me, because it's too cold outside, and i forgot to bring my jacket cause i am in hurry for my 12noon appointment. i must say that the old guy is for keep!

as for the interior of the hotel, it is arabian inspired (of course! 😍) and the staff able to managed and keep it clean and well maintained.",0.0,0.81,0.19,0.7906,positive,1
North,Hail,hotel,lodging,Al Jabalain Hotel,3.3,Broken stockup shower head and water heater not working also water dripping directly to your head if you are using the toilet bowl.,en,broken stockup shower head and water heater not working also water dripping directly to your head if you are using the toilet bowl.,0.181,0.819,0.0,-0.4767,negative,4
North,Hail,hotel,lodging,Al Jabalain Hotel,3.3,"It's a beautiful and a nice place to stay, really appreciate there service 👍🏽",en,"it's a beautiful and a nice place to stay, really appreciate there service 👍🏽",0.0,0.34,0.66,0.8655,positive,1
North,Hail,hotel,lodging,Al Jabalain Hotel,3.3,Continue after 3 month then Bangladesh embassy people service in here,en,continue after 3 month then bangladesh embassy people service in here,0.0,1.0,0.0,0.0,neutral,3
North,Hail,hotel,lodging,Al Jabalain Hotel,3.3,"The furniture is not good
They raise the rent because it is a season but i was the only resident for a whole month",en,"the furniture is not good
they raise the rent because it is a season but i was the only resident for a whole month",0.0,0.707,0.293,0.4404,positive,3
North,Hail,hotel,lodging,Resident House Hotel Apartments,3.3,Nice hotel.. staff is very good and cooperative.. location is just in front of Al rajhi mosque..,en,nice hotel.. staff is very good and cooperative.. location is just in front of al rajhi mosque..,0.0,0.584,0.416,0.6908,positive,3
North,Hail,hotel,lodging,Resident House Hotel Apartments,3.3,Great,en,great,0.0,0.0,1.0,0.6249,positive,2
North,Hail,hotel,lodging,Resident House Hotel Apartments,3.3,Good reception. The Sudanese receptionist was exceptional,en,good reception. the sudanese receptionist was exceptional,0.0,0.58,0.42,0.4404,positive,3
North,Hail,hotel,lodging,Resident House Hotel Apartments,3.3,Poor Hygiene old dirty furniture not recommended,en,poor hygiene old dirty furniture not recommended,0.556,0.278,0.167,-0.6369,negative,4
North,Hail,hotel,lodging,Jbalh suits,3.4,"Good things are the location it self near to airport and to fitness time gym and to Hail power plant also 6 minutes to lulu hyper parket . There is supermarket in same place.

Bad things are I checked room 202 smell was bad, curtains holders are broken , no soap no shampoo no towels . Parking is very limited  and when asking for official invoice saying you will receive only the reservation summary.",en,"good things are the location it self near to airport and to fitness time gym and to hail power plant also 6 minutes to lulu hyper parket . there is supermarket in same place.

bad things are i checked room 202 smell was bad, curtains holders are broken , no soap no shampoo no towels . parking is very limited  and when asking for official invoice saying you will receive only the reservation summary.",0.234,0.643,0.123,-0.7717,negative,2
North,Hail,hotel,lodging,Jbalh suits,3.4,"One of the best apartment hotels that I stayed in Hail city. Clean apartment, super nice front desk staff and very helpful room service.",en,"one of the best apartment hotels that i stayed in hail city. clean apartment, super nice front desk staff and very helpful room service.",0.0,0.383,0.617,0.9493,positive,2
North,Hail,hotel,lodging,Jbalh suits,3.4,Rooms are wide and big.close to the airport.some rooms are not well equipped.so you havr to ask for the boiler.the microwave by yourself to put them in the room as it should be.,en,rooms are wide and big.close to the airport.some rooms are not well equipped.so you havr to ask for the boiler.the microwave by yourself to put them in the room as it should be.,0.0,0.851,0.149,0.2732,positive,2
North,Hail,hotel,lodging,Jbalh suits,3.4,"The staf was extremely nice.
But the place surely need renovation.
Toilettries are very poor.
Tv chaines need to be added",en,"the staf was extremely nice.
but the place surely need renovation.
toilettries are very poor.
tv chaines need to be added",0.16,0.517,0.323,0.4865,positive,0
North,Hail,hotel,lodging,Jbalh suits,3.4,An awesome hotelapartelle with nice view from my window of the Al Rajhi Mosque. Hospitable and friendly welcoming staff/s (Hamad).,en,an awesome hotelapartelle with nice view from my window of the al rajhi mosque. hospitable and friendly welcoming staff/s (hamad).,0.0,0.409,0.591,0.9186,positive,1
North,Hail,hotel,lodging,درر مسك للوحدات المخدومة,3.3,"Pros:
New.
Clean in general.
Cheap price.
Cons:
No place to sit in the rooms except on the beds, not even one single chair.
The bed was not even clean from inside when I opened the sheets, it had hair and stains.",en,"pros:
new.
clean in general.
cheap price.
cons:
no place to sit in the rooms except on the beds, not even one single chair.
the bed was not even clean from inside when i opened the sheets, it had hair and stains.",0.0,0.803,0.197,0.6597,positive,2
North,Hail,hotel,lodging,درر مسك للوحدات المخدومة,3.3,"لا تستأجر غرفة ٢٠٧
Do not rent room number 207
Reception guys good
Better to prevent smoking in reception area.
Better to make all employees take care a bout face mask.",en,"لا تستأجر غرفة ٢٠٧
do not rent room number 207
reception guys good
better to prevent smoking in reception area.
better to make all employees take care a bout face mask.",0.0,0.528,0.472,0.9062,positive,0
North,Hail,hotel,lodging,درر مسك للوحدات المخدومة,3.3,"Nice quiet environment, friendly and helpful staff.
The room is a little small but comfortable.
Overall good experience!
I recommend.",en,"nice quiet environment, friendly and helpful staff.
the room is a little small but comfortable.
overall good experience!
i recommend.",0.0,0.317,0.683,0.9453,positive,3
North,Hail,hotel,lodging,درر مسك للوحدات المخدومة,3.3,Very nice place,en,very nice place,0.0,0.263,0.737,0.4215,positive,1
North,Hail,hotel,lodging,درر مسك للوحدات المخدومة,3.3,Hotel the army service nice,en,hotel the army service nice,0.0,0.517,0.483,0.4215,positive,3
North,Hail,restaurant,restaurant,D'Aisa Terrace Restaurant,3.2,"📶 - Free Wi-Fi
🕛 - 24H (Chess Club Cafe)
☎️ - No Need for Reservations
🤵 - English Speaking Staff
🙋‍♂️ - Filipino Staff
🌡️ - Body Temperature Check
✔️ - Individual and Couple Areas
✔️ - Indoor Dine-in only
✔️ - Tawakkalna Checking
✔️ - Free Disposable Face Mask
✔️ - Promos
🅿️ - Parking Area
🚛 - No Delivery
🚻 - Comfort Room

😋😋😋           - Good Food
⭐⭐⭐⭐⭐ - Good Service/Staff & Crew
🪙🪙🪙           - Affordable
⭐⭐⭐⭐⭐ - Ambience/Appearance
📸📸📸📸📸 - Instagrammable

Staff are friendly and courteous. The Egyptian Manager is also approachable. One of the best thing here, is that they serve free pica pica while waiting for food. This helps us to get rid of boredom and makes our small talks even more interesting. Menu here are consist of Southeast Asian and Arab cuisine. The stir fried seafood noodles, Beef with fried rice to name a few - actually these are our all time favorites here. And place, there are lot's of people here, mostly locals - Because why not? This place is perfect most especially for your late night bonding and chit-chatting.

*For the Nth Time - September 2, 2021
The Filipino Food event wasn't enjoyable. I don't think that 80SR/Person Buffet was reasonable or fair. We know that the person in charged in preparing the dishes was not Filipino or atleast has a knowledge in preparing our dish! We don't put big chunks of Liver in Kare-Kare! That's the grosses Kare-Kare I've ever had! 🤮🤮🤮. Next time if you are going to held another Filipino Food event like this - RESEARCH WELL or ATLEAST ASK YOUR FILIPINO STAFF or HAVE THEM TASTED THE DISH BEFORE SERVING IT!👎",en,"📶 - free wi-fi
🕛 - 24h (chess club cafe)
☎️ - no need for reservations
🤵 - english speaking staff
🙋‍♂️ - filipino staff
🌡️ - body temperature check
✔️ - individual and couple areas
✔️ - indoor dine-in only
✔️ - tawakkalna checking
✔️ - free disposable face mask
✔️ - promos
🅿️ - parking area
🚛 - no delivery
🚻 - comfort room

😋😋😋           - good food
⭐⭐⭐⭐⭐ - good service/staff & crew
🪙🪙🪙           - affordable
⭐⭐⭐⭐⭐ - ambience/appearance
📸📸📸📸📸 - instagrammable

staff are friendly and courteous. the egyptian manager is also approachable. one of the best thing here, is that they serve free pica pica while waiting for food. this helps us to get rid of boredom and makes our small talks even more interesting. menu here are consist of southeast asian and arab cuisine. the stir fried seafood noodles, beef with fried rice to name a few - actually these are our all time favorites here. and place, there are lot's of people here, mostly locals - because why not? this place is perfect most especially for your late night bonding and chit-chatting.

*for the nth time - september 2, 2021
the filipino food event wasn't enjoyable. i don't think that 80sr/person buffet was reasonable or fair. we know that the person in charged in preparing the dishes was not filipino or atleast has a knowledge in preparing our dish! we don't put big chunks of liver in kare-kare! that's the grosses kare-kare i've ever had! 🤮🤮🤮. next time if you are going to held another filipino food event like this - research well or atleast ask your filipino staff or have them tasted the dish before serving it!👎",0.042,0.72,0.238,0.9901,positive,3
North,Hail,restaurant,restaurant,D'Aisa Terrace Restaurant,3.2,Very nice atmosphere  .  I tried mix grill and is very good . Has 6 tv screens watching football. Staff are kind  and goodservice. If I visit Hail city I will come again. It's worth visiting.,en,very nice atmosphere  .  i tried mix grill and is very good . has 6 tv screens watching football. staff are kind  and goodservice. if i visit hail city i will come again. it's worth visiting.,0.0,0.532,0.468,0.8834,positive,2
North,Hail,restaurant,restaurant,D'Aisa Terrace Restaurant,3.2,The restaurant has a nice ambience but the staff/crew don't have good communication and service... you should hire better crew...,en,the restaurant has a nice ambience but the staff/crew don't have good communication and service... you should hire better crew...,0.149,0.497,0.354,0.5096,positive,3
North,Hail,restaurant,restaurant,D'Aisa Terrace Restaurant,3.2,Waiters are lousy. Slow service,en,waiters are lousy. slow service,0.538,0.462,0.0,-0.5423,negative,2
North,Hail,restaurant,restaurant,D'Aisa Terrace Restaurant,3.2,"Frankly, this restaurant is one of the best restaurants I have ever visited in my life. The food is delicious and the service is wonderful, led by the manager of the restaurant and Al-Kafi, Mr. Ihab. The place is located in a strategic location in the best and most prestigious hotel in the city of Hail. The Holiday Villa Hotel in the Al-Jami’in neighborhood, opposite Medina Road extending from King Abdulaziz Road, is one of the most lively locations in the city of Hail. One of the advantages of this restaurant is that it is open until three o’clock in the morning and there is parking on site. The restaurant is crowded most of the time and it is preferable to go there early because of the great demand it receives from people. The people of Hail and visitors to the region, thanks go to God’s success first, then to the efforts of Mr. Ihab, the restaurant manager, Al-Kafi, who welcomes everyone and bids them farewell with a smile, which is the reason for my personal presence in this place every night because I find comfort and delicious and delicious food, as well as the wonderful service, which I classify as 5-star services, and the prices are suitable for everyone and not high. I advise everyone to visit this unique restaurant of its kind in Saudi Arabia and the Middle East. 😃🙏💝🙏✋️",en-US,"frankly, this restaurant is one of the best restaurants i have ever visited in my life. the food is delicious and the service is wonderful, led by the manager of the restaurant and al-kafi, mr. ihab. the place is located in a strategic location in the best and most prestigious hotel in the city of hail. the holiday villa hotel in the al-jami’in neighborhood, opposite medina road extending from king abdulaziz road, is one of the most lively locations in the city of hail. one of the advantages of this restaurant is that it is open until three o’clock in the morning and there is parking on site. the restaurant is crowded most of the time and it is preferable to go there early because of the great demand it receives from people. the people of hail and visitors to the region, thanks go to god’s success first, then to the efforts of mr. ihab, the restaurant manager, al-kafi, who welcomes everyone and bids them farewell with a smile, which is the reason for my personal presence in this place every night because i find comfort and delicious and delicious food, as well as the wonderful service, which i classify as 5-star services, and the prices are suitable for everyone and not high. i advise everyone to visit this unique restaurant of its kind in saudi arabia and the middle east. 😃🙏💝🙏✋️",0.009,0.581,0.41,0.9959,positive,1
North,Hail,restaurant,restaurant,taan resturant,3.4,"Very nice place, luxury decorations, tasty,delicious, wide variety of oriental and turkish kitchen, well welcoming, needs to take more care for toilets cleaning.",en,"very nice place, luxury decorations, tasty,delicious, wide variety of oriental and turkish kitchen, well welcoming, needs to take more care for toilets cleaning.",0.0,0.542,0.458,0.875,positive,1
North,Hail,restaurant,restaurant,taan resturant,3.4,"Very nice place but small rooms and no open area
Service was below average
Food average
Price average",en,"very nice place but small rooms and no open area
service was below average
food average
price average",0.0,0.797,0.203,0.4215,positive,3
North,Hail,restaurant,restaurant,taan resturant,3.4,"Food was delicious.
Sitting area was a room which felt like your own dining room.
Food was reasonably priced.
The reason that this isn’t a 5 star rating was because the costumer service!
The one who took our orders was so slow and got 3 orders wrong! And when we paid he put in the wrong number.",en,"food was delicious.
sitting area was a room which felt like your own dining room.
food was reasonably priced.
the reason that this isn’t a 5 star rating was because the costumer service!
the one who took our orders was so slow and got 3 orders wrong! and when we paid he put in the wrong number.",0.169,0.627,0.204,0.0772,positive,4
North,Hail,restaurant,restaurant,taan resturant,3.4,"The best restaurant in town so far.. very tasty, very good quality, the presentation is perfect, great ambiance and richy menu! Highly recommended 👍🏼👍🏼",en,"the best restaurant in town so far.. very tasty, very good quality, the presentation is perfect, great ambiance and richy menu! highly recommended 👍🏼👍🏼",0.0,0.393,0.607,0.9516,positive,3
North,Hail,shopping_mall,shopping_mall,افضل شراء ملابس حائل | BestBuy Clothing Hail,3.3,nice service and all product good. 😊,en,nice service and all product good. 😊,0.0,0.26,0.74,0.6908,positive,3
North,Hail,shopping_mall,shopping_mall,افضل شراء ملابس حائل | BestBuy Clothing Hail,3.3,Ok,en,ok,0.0,0.0,1.0,0.296,positive,0
North,Hail,shopping_mall,shopping_mall,افضل شراء ملابس حائل | BestBuy Clothing Hail,3.3,Nice service,en,nice service,0.0,0.263,0.737,0.4215,positive,3
North,Hail,shopping_mall,shopping_mall,افضل شراء ملابس حائل | BestBuy Clothing Hail,3.3,"Kindly don't buy anything from them. I bought 5 pcs of high neck but it got torn after a few hours. When I called to complain about this, Sheikh Shah executive talks to me in very angry and hung up the phone in anger.

Please do not buy anything from them. I bought 5 pieces of turtlenecks but they tore after a few hours. When I called to complain about this, the CEO Sheikh Shah spoke to me very angrily and hung up the phone in anger.",en-US,"kindly don't buy anything from them. i bought 5 pcs of high neck but it got torn after a few hours. when i called to complain about this, sheikh shah executive talks to me in very angry and hung up the phone in anger.

please do not buy anything from them. i bought 5 pieces of turtlenecks but they tore after a few hours. when i called to complain about this, the ceo sheikh shah spoke to me very angrily and hung up the phone in anger.",0.366,0.536,0.098,-0.9325,negative,3
North,Hail,shopping_mall,shopping_mall,افضل شراء ملابس حائل | BestBuy Clothing Hail,3.3,The place lacks some organization and needs a larger configuration of courtyards and a larger stand,en-US,the place lacks some organization and needs a larger configuration of courtyards and a larger stand,0.0,1.0,0.0,0.0,neutral,1
North,Umluj,hotel,lodging,Sunset Furnished Residential Units,3.0,"Price doesn't match the quality at all. Hotel from inside totally different from inside. Front deck, need more training, I'm trying to get the remaining balance since yesterday and he keeps telling me I will get it from the other person in the next shift because he doesn't have exchang...",en,"price doesn't match the quality at all. hotel from inside totally different from inside. front deck, need more training, i'm trying to get the remaining balance since yesterday and he keeps telling me i will get it from the other person in the next shift because he doesn't have exchang...",0.0,1.0,0.0,0.0,neutral,1
North,Umluj,hotel,lodging,Sunset Furnished Residential Units,3.0,"Very clean, nice place affordable for a family stay..",en,"very clean, nice place affordable for a family stay..",0.0,0.421,0.579,0.6705,positive,3
North,Umluj,hotel,lodging,Sunset Furnished Residential Units,3.0,Here we are ready to help you in every way,en,here we are ready to help you in every way,0.0,0.278,0.722,0.6369,positive,1
North,Umluj,hotel,lodging,Sunset Furnished Residential Units,3.0,Good location. Cleanleness ok. far from city centre shops and restaurants.,en,good location. cleanleness ok. far from city centre shops and restaurants.,0.0,0.579,0.421,0.6249,positive,2
North,Umluj,hotel,lodging,Sunset Furnished Residential Units,3.0,Not very clean and they need to redecorate all rooms,en,not very clean and they need to redecorate all rooms,0.0,0.526,0.474,0.4019,positive,2
North,Umluj,hotel,lodging,Hotel New Furnished Family Rooms,3.1,"Room wall are not painted,TV is not working,no Hanger fitted, Rent is also high 300/350SR",en,"room wall are not painted,tv is not working,no hanger fitted, rent is also high 300/350sr",0.0,1.0,0.0,0.0,neutral,0
North,Umluj,hotel,lodging,Hotel New Furnished Family Rooms,3.1,Good and cleaned hotel .this hotel very good for living family and bachelors and very affordable price.but the bangali workers too bad.they don't know how to make good customer service.they don't know how to talk with people's but receptionist saudi guy is very good man too much co-operative man.,en,good and cleaned hotel .this hotel very good for living family and bachelors and very affordable price.but the bangali workers too bad.they don't know how to make good customer service.they don't know how to talk with people's but receptionist saudi guy is very good man too much co-operative man.,0.0,0.699,0.301,0.891,positive,3
North,Umluj,hotel,lodging,Hotel New Furnished Family Rooms,3.1,All the hotels here are prebooked for the red sea project workers and nothing is available for the tourists. Staff isn't courteous either.,en,all the hotels here are prebooked for the red sea project workers and nothing is available for the tourists. staff isn't courteous either.,0.184,0.816,0.0,-0.4023,negative,3
North,Umluj,hotel,lodging,Hotel New Furnished Family Rooms,3.1,Very bad place is not clean and very expensive and  there is very bad smell in the room,en,very bad place is not clean and very expensive and  there is very bad smell in the room,0.511,0.292,0.197,-0.6486,negative,1
North,Umluj,hotel,lodging,Hotel New Furnished Family Rooms,3.1,The rooms are nice...but the washroom wasnt as clean. So did not go for it.,en,the rooms are nice...but the washroom wasnt as clean. so did not go for it.,0.311,0.689,0.0,-0.3089,negative,1
North,Umluj,hotel,lodging,OYO 632 Marsa Al Wajh,2.9,"Location is cool
Staff is ok, but doesn't bother much about your services
Cleanliness is not upto that mark.
You will find some broken accessories, ask for replacement you ll get after world war 3",en,"location is cool
staff is ok, but doesn't bother much about your services
cleanliness is not upto that mark.
you will find some broken accessories, ask for replacement you ll get after world war 3",0.254,0.508,0.237,-0.3536,negative,4
North,Umluj,hotel,lodging,OYO 632 Marsa Al Wajh,2.9,"This is not a Hotel. It's a company accommodation. Rest you can understand.
Stay Safe and don't stay here.",en,"this is not a hotel. it's a company accommodation. rest you can understand.
stay safe and don't stay here.",0.0,0.734,0.266,0.4404,positive,3
North,Umluj,hotel,lodging,OYO 632 Marsa Al Wajh,2.9,"I don't know
At that time room was full",en,"i don't know
at that time room was full",0.0,1.0,0.0,0.0,neutral,2
North,Umluj,hotel,lodging,OYO 632 Marsa Al Wajh,2.9,"no shop nearby, rooms are in bad condition, cockroaches and mosquitos. no daily drinking water supply. internet very bad.",en,"no shop nearby, rooms are in bad condition, cockroaches and mosquitos. no daily drinking water supply. internet very bad.",0.389,0.611,0.0,-0.7906,negative,1
North,Umluj,hotel,lodging,OYO 632 Marsa Al Wajh,2.9,a suitable option for low-income people. 150 for single room,en,a suitable option for low-income people. 150 for single room,0.0,1.0,0.0,0.0,neutral,1
North,Umluj,restaurant,restaurant,Falafel Buffet,3.4,Good,en,good,0.0,0.0,1.0,0.4404,positive,3
